,movie_title,actor_name,actor_id
132,mr. peabody & sherman,Ty Burrell,15232.0
133,troy,Brad Pitt,287.0
134,madagascar 3: europe's most wanted,Jada Pinkett Smith,9575.0
135,die another day,Toby Stephens,10881.0
136,armageddon,Bruce Willis,62.0
137,men in black ii,Will Smith,2888.0
138,beowulf,Robin Wright,32.0
139,kung fu panda 3,J.K. Simmons,18999.0
140,mission: impossible - ghost protocol,Tom Cruise,500.0
141,rise of the guardians,Hugh Jackman,6968.0
142,fun with dick and jane,John Michael Higgins,8265.0
143,the last samurai,Tom Cruise,500.0
144,star trek,Chris Hemsworth,74568.0
145,spider-man,J.K. Simmons,18999.0
146,how to train your dragon 2,Gerard Butler,17276.0
147,gods of egypt,Gerard Butler,17276.0
148,stealth,Sam Shepard,9880.0
149,watchmen,Matt Frewer,40009.0
150,lethal weapon 4,Jet Li,1336.0
151,hulk,Kevin Rankin,114000.0
152,g.i. joe: retaliation,Channing Tatum,38673.0
153,final fantasy: the spirits within,Steve Buscemi,884.0
154,captain america: the first avenger,Chris Evans,16828.0
155,the world is not enough,Colin Salmon,5414.0
156,master and commander: the far side of the world,James D'Arcy,19655.0
157,happy feet 2,Robin Williams,2157.0
158,the incredible hulk,Ty Burrell,15232.0
159,miami viceÂ            ,Don Johnson,25129.0
160,the bfg,Mark Rylance,40900.0
161,the revenant,Leonardo DiCaprio,6193.0
162,turbo,Ryan Reynolds,10859.0
163,rango,Johnny Depp,85.0
164,penguins of madagascar,Benedict Cumberbatch,71580.0
165,the bourne ultimatum,Matt Damon,1892.0
166,kung fu panda,Angelina Jolie Pitt,
167,ant-man,Judy Greer,20750.0
168,the hunger games: catching fire,Jennifer Lawrence,72129.0
169,the twilight saga: breaking dawn - part 2,Robert Pattinson,11288.0
170,war of the worlds,Tom Cruise,500.0
171,bad boys ii,Will Smith,2888.0
172,puss in boots,Salma Hayek,3136.0
173,salt,Angelina Jolie Pitt,
174,noah,Anthony Hopkins,4173.0
175,the adventures of tintin,Toby Jones,13014.0
176,harry potter and the prisoner of azkaban,Daniel Radcliffe,10980.0
177,australia,Essie Davis,33449.0
178,after earth,Will Smith,2888.0
179,dinosaur,Alfre Woodard,1981.0
180,harry potter and the deathly hallows: part ii,Rupert Grint,10989.0
181,night at the museum: secret of the tomb,Robin Williams,2157.0
182,megamind,J.K. Simmons,18999.0
183,harry potter and the sorcerer's stone,Daniel Radcliffe,10980.0
184,r.i.p.d.,Ryan Reynolds,10859.0
185,godzilla resurgence,Mark Chinnery,1596939.0
186,pirates of the caribbean: the curse of the black pearl,Johnny Depp,85.0
187,harry potter and the deathly hallows: part i,Rupert Grint,10989.0
188,the hunger games: mockingjay - part 1,Jennifer Lawrence,72129.0
189,the da vinci code,Tom Hanks,31.0
190,rio 2,Miguel Ferrer,15860.0
191,x-men 2,Hugh Jackman,6968.0
192,fast five,Paul Walker,8167.0
193,sherlock holmes: a game of shadows,Robert Downey Jr.,3223.0
194,the 13th warrior,Tony Curran,2220.0
195,the bourne legacy,Jeremy Renner,17604.0
196,batman & robin,Michael Gough,3796.0
197,how the grinch stole christmas,Clint Howard,15661.0
198,the day after tomorrow,Jake Gyllenhaal,131.0
199,mission: impossible ii,Tom Cruise,500.0
200,the perfect storm,Karen Allen,650.0
201,fantastic 4: rise of the silver surfer,Chris Evans,16828.0
202,life of pi,Suraj Sharma,933160.0
203,ghost rider,Nicolas Cage,2963.0
204,jason bourne,Matt Damon,1892.0
205,charlie's angels: full throttle,Demi Moore,3416.0
206,prometheus,Michael Fassbender,17288.0
207,stuart little 2,Nathan Lane,78729.0
208,elysium,Matt Damon,1892.0
209,the chronicles of riddick,Vin Diesel,12835.0
210,speed racer,Scott Porter,53368.0
211,how do you know,Shelley Conn,73707.0
212,knight and day,Tom Cruise,500.0
213,oblivion,Morgan Freeman,192.0
214,star wars: episode iii - revenge of the sith,Natalie Portman,524.0
215,star wars: episode ii - attack of the clones,Natalie Portman,524.0
216,"monsters, inc.",Steve Buscemi,884.0
217,the wolverine,Hugh Jackman,6968.0
218,star wars: episode i - the phantom menace,Natalie Portman,524.0
219,the croods,Ryan Reynolds,10859.0
220,asterix at the olympic games,Alain Delon,15135.0
221,windtalkers,Nicolas Cage,2963.0
222,the huntsman: winter's war,Chris Hemsworth,74568.0
